Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,Daily_Return,Volatility
0.046415665,0.04678946,0.046415665,0.04678946,1344000,0.001563,0,0.0457876689,0.04652452378000001,0.015962476830891692,0.01322324615616798
0.046789469,0.04697646,0.046602666,0.046851862,1689600,0.0,0,0.0457965984,0.04646124264000001,0.0013336764305464932,0.01322550908268294
0.046851829,0.046976427,0.046602633,0.046602633,883200,0.0,0,0.04583640275,0.04641526376,-0.005319511100754237,0.012546295813140167
0.046602633,0.046789436,0.046602633,0.046602633,768000,0.0,0,0.045888587,0.04636185346,0.0,0.012460422311522406
0.046602666,0.047101059,0.046602666,0.046851862,921600,0.0,0,0.0459532327,0.04633571465999999,0.005347959631379684,0.01249051192011083
0.046851865,0.047350258,0.046851865,0.047350258,1305600,0.0,0,0.0460056522,0.04632944694,0.010637698881636792,0.012197066567606274
0.047599454,0.048222446,0.047599454,0.047973249,2188800,0.0,0,0.0461015987,0.04631830780000001,0.013157077201142231,0.012375582655282253
0.048097835,0.048720826,0.048097835,0.04847163,1344000,0.0,0,0.0462348529,0.04631218484,0.010388727267565345,0.012375205649345649
0.048845435,0.049717817,0.048845435,0.049344022,1497600,0.0,0,0.04643648535,0.04631360232000001,0.017997991815005943,0.012371474580735056
0.049344027,0.049717822,0.04859625,0.048720848,1420800,0.0,0,0.0465698118,0.04630998774,-0.012629169142312824,0.012583931884727503
0.048471624,0.048471624,0.04809783,0.048347026,844800,0.0,0,0.0466720697,0.046308799819999996,-0.007672731804667987,0.012785108616460233
0.048347044,0.048347044,0.047973249,0.047973249,460800,0.0,0,0.04679897395,0.04631746834,-0.007731127039747987,0.012052138837519103
0.047973236,0.048596227,0.047848638,0.048097834,1036800,0.0,0,0.04694448585,0.04635833864,0.002596968156148849,0.011895918333227626
0.048097844,0.048097844,0.047350258,0.047350258,1382400,0.0,0,0.047027861399999996,0.0464028289,-0.015542820493746112,0.012448524672178756
0.047350261,0.048222446,0.047101064,0.047973249,1152000,0.0,0,0.0471733325,0.0464313039,0.013157077201142231,0.012136282633687843
0.047973277,0.048222474,0.046104117,0.0464781,1228800,0.0,0,0.04719452154999999,0.046422448580000004,-0.031166306872398852,0.0135451226302075
0.046851904,0.047724089,0.046851904,0.047038704,1459200,0.0,0,0.04727469855,0.04644461592,0.01206168066250557,0.013358073272099761
0.047038673,0.047537066,0.046851873,0.047101069,1036800,0.0,0,0.047351804600000005,0.04647793401999999,0.0013258230924049208,0.013356754683094068
0.047350233,0.04809782,0.047350233,0.047848623,729600,0.0,0,0.0474910444,0.04653362994,0.015871274598884266,0.013365437532386188
0.047973249,0.048347044,0.047973249,0.047973249,537600,0.0,0,0.0475869909,0.0466017228,0.002604589059961082,0.012604556547414042
0.047973249,0.048347044,0.047973249,0.047973249,614400,0.0,0,0.04764618035,0.046669815659999996,0.0,0.0121800797426411
0.047973244,0.04822244,0.046664871,0.046851862,883200,0.0,0,0.04764618035,0.0467191961,-0.023375256489298835,0.013373398753788915
0.046602664,0.046602664,0.045854887,0.045979485,1075200,0.0,0,0.04761502295,0.04671522286,-0.018619900314740923,0.013973548046127363
0.045979489,0.047350258,0.045231902,0.047350258,1804800,0.0,0,0.0476524042,0.046731238040000005,0.029812708863528936,0.01554086775206636
0.047350269,0.048097856,0.047225671,0.047474865,2227200,0.0,0,0.047683554350000004,0.046739841979999995,0.002631601289268648,0.01551189421771356
0.047474886,0.04797328,0.047101094,0.047724083,1152000,0.0,0,0.047702245600000005,0.04675343028,0.005249472536678068,0.015377800113960564
0.047724053,0.047973249,0.047599454,0.047973249,691200,0.0,0,0.047702245600000005,0.04678438170000001,0.005220969882229198,0.015134638287405456
0.047973255,0.048035651,0.047724059,0.048035651,806400,0.0,0,0.04768044665,0.04681162928,0.0013007666001523255,0.014945000287143769
0.048035632,0.048596227,0.047911034,0.048097834,691200,0.0,0,0.04761813725,0.04683764424,0.0012945176906211664,0.014319602564257223
0.04809783,0.048347026,0.047724035,0.048347026,883200,0.0,0,0.04759944615,0.0468636914,0.0051809401645821485,0.014122592921462007
0.048222476,0.048222476,0.047724083,0.047724083,422400,0.0,0,0.047568299,0.046884707619999993,-0.012884825635396946,0.014312805679729982
0.047724061,0.047973258,0.047101073,0.047474865,806400,0.0,0,0.0475433798,0.04690073948,-0.005222059478859009,0.014257443998070909
0.047474856,0.047973249,0.047225662,0.047973249,883200,0.0,0,0.047537150550000004,0.04694407354,0.010497849756918809,0.01445369527075243
0.038935206,0.039440824,0.038935206,0.039314419,1344000,0.0,0,0.047135358599999996,0.046819182960000004,-0.18049288260630414,0.04287989577777261
0.039314416,0.039630525,0.039314416,0.039630525,499200,0.0,0,0.046718222399999995,0.0467006145,0.008040459659342636,0.04276037792924344
0.039820052,0.040452075,0.039820052,0.040199265,2803200,0.0,0,0.046404280650000004,0.046578562440000006,0.014351058937523531,0.04270363572531479
0.040199295,0.040578511,0.039567271,0.040578511,1958400,0.0,0,0.046081271,0.04646904628000001,0.009434152589605782,0.042648316833770926
0.04057848,0.041969129,0.04057848,0.041337103,4569600,0.0,0,0.045793072700000007,0.046379657420000005,0.018694426712700274,0.04298915030700826
0.04127378,0.04127378,0.040831267,0.04127378,614400,0.0,0,0.04546433055,0.046298905560000006,-0.0015318683556512225,0.04270857875977731
0.04121071,0.04121071,0.040831303,0.041084304,1267200,0.0,0,0.045119883300000004,0.04619950526,-0.004590711100364464,0.04265909413141839
